,title,content,Workout Title,Category,Routine Link,Main Goal,Workout Type,Training Level,Program Duration,Days Per Week,Time Per Workout,Equipment Required,Target Gender,Recommended Supps
23,Friday - Legs and Shoulders,"[['Squat', '4', '8'], ['Stiff Legged Deadlift', '3', '8'], ['Leg Curl', '3', '8, 8, 6'], ['Leg Extension', '3', '8, 8, 6'], ['Standing Calf Raise', '4', '15, 12, 10, 8'], ['Military Press', '4', '8, 8, 6, 6'], ['Dumbbell Lateral Raise', '3', '8'], ['Bent Over Rev Fly', '3', '8']]",Fat Blaster: 6 Day Weight/Cardio Cutting Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/20-6-day-weight-cardio-cutting-workout.html,Lose Fat,Split,Intermediate,3 weeks,4,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"Pre-Workout, Whey Protein, Casein Protein, Fat Burner (optional)"
24,Pull Day Workout,"[['One Arm Row', '5', '30, 25, 20, 15, 10'], ['Bent-Over Rear Lateral Raise', '3', '30, 20, 10'], ['One Arm Upright Row', '3', '30, 20, 10'], ['Seated Dumbbell Curl', '3', '20, 20, 20'], ['Hammer Curl', '3', '20, 20, 20'], ['Single Arm Dumbbell Shrug', '3', '30, 30, 30']]",4 Day Dumbbell and Bodyweight Fat Loss Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/single-pair-dumbbell-bodyweight-workout,Lose Fat,Split,Intermediate,8 weeks,5,60-90 minutes,"Barbell, Cables, Dumbbells, EZ Bar, Medicine Ball",Male & Female,"Protein Powder, Vitamin D, ZMA"
25,Legs and Abs Workout,"[['Split Squat', '3', '30, 20, 10'], ['Single Stiff-Leg Deadlift', '3', '30, 20, 10'], ['Walking Lunge', '3', '30, 20, 10'], ['Seated Calf Raise', '3', '30, 30, 30'], ['Weighted Crunch', '3', '20, 20, 20'], ['Superman', '3', '30 seconds']]",4 Day Dumbbell and Bodyweight Fat Loss Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/single-pair-dumbbell-bodyweight-workout,Lose Fat,Split,Intermediate,8 weeks,5,60-90 minutes,"Barbell, Cables, Dumbbells, EZ Bar, Medicine Ball",Male & Female,"Protein Powder, Vitamin D, ZMA"
26,Push Day Workout,"[['Floor Dumbbell Press', '5', '30, 25, 20, 15, 10'], ['Floor Dumbbell Fly', '3', '30, 20, 10'], ['Lateral Raise', '3', '30, 20, 10'], ['One Arm Overhead Extension', '3', '20, 20, 20'], ['One Arm Kickback', '3', '20, 20, 20'], ['Close Grip Push Up', '3', '20, 20, 20']]",4 Day Dumbbell and Bodyweight Fat Loss Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/single-pair-dumbbell-bodyweight-workout,Lose Fat,Split,Intermediate,8 weeks,5,60-90 minutes,"Barbell, Cables, Dumbbells, EZ Bar, Medicine Ball",Male & Female,"Protein Powder, Vitamin D, ZMA"
27,Full-Body Workout,"[['Dumbbell Standing Calf Raise', '1', '60 seconds', '60 seconds'], ['Stiff-Leg Deadlift', '1', '30 seconds', '30 seconds'], ['Bodyweight Squat Jumps', '1', '60 seconds', '60 seconds'], ['Lying Leg Raise', '1', '30 seconds', '30 seconds'], ['Plank', '1', '60 seconds', '60 seconds'], ['Dumbbell Pullover', '1', '30 seconds', '30 seconds'], ['Push Up', '1', '60 seconds', '60 seconds'], ['Arnold Press', '1', '30 seconds', '30 seconds'], ['Dumbbell Curl', '1', '60 seconds', '60 seconds']]",4 Day Dumbbell and Bodyweight Fat Loss Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/single-pair-dumbbell-bodyweight-workout,Lose Fat,Split,Intermediate,8 weeks,5,60-90 minutes,"Barbell, Cables, Dumbbells, EZ Bar, Medicine Ball",Male & Female,"Protein Powder, Vitamin D, ZMA"
28,Workout A - Upper Body,"[['Dumbbell Bench Press', '8', '8'], ['Seated Cable Row', '8', '8'], ['Machine Overhead Press', '8', '8'], ['Cable Curl', '6', '8'], ['Skullcrushers', '6', '8']]",Fast & Furious: 21 Day Shredding Workout Cycle And Diet,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/fast-furious-21-day-shredding-workout-diet,Build Muscle,Full Body,Intermediate,4 weeks,3,30 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,"Protein Powder, Multivitamin, Fish Oil"
29,Workout B - Upper Body,"[['Machine Chest Press', '8', '8'], ['Lat Pull Down', '8', '8'], ['Seated Overhead Dumbbell Press', '8', '8'], ['EZ Bar Curl', '6', '8'], ['Cable Tricep Extensions', '6', '8']]",Fast & Furious: 21 Day Shredding Workout Cycle And Diet,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/fast-furious-21-day-shredding-workout-diet,Build Muscle,Full Body,Intermediate,4 weeks,3,30 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,"Protein Powder, Multivitamin, Fish Oil"
30,Workout A - Lower Body,"[['Leg Press', '8', '8'], ['Leg Curl', '8', '8'], ['Leg Extension', '6', '8'], ['Seated Calf Raise', '8', '8'], ['Planks', '6', '30 sec']]",Fast & Furious: 21 Day Shredding Workout Cycle And Diet,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/fast-furious-21-day-shredding-workout-diet,Build Muscle,Full Body,Intermediate,4 weeks,3,30 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,"Protein Powder, Multivitamin, Fish Oil"
31,Workout B - Lower Body,"[['Hack Squat', '8', '8'], ['Dumbbell Stiff Leg Deadlift', '8', '8'], ['Goblet Squat', '6', '8'], ['Leg Press Calf Press', '8', '8'], ['Hanging Knee Raise', '6', '15']]",Fast & Furious: 21 Day Shredding Workout Cycle And Diet,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/fast-furious-21-day-shredding-workout-diet,Build Muscle,Full Body,Intermediate,4 weeks,3,30 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,"Protein Powder, Multivitamin, Fish Oil"
32,Cardio Workout ,"[['Push Ups', '10'], ['Jumping Jacks', '20'], ['Burpees', '10'], ['Treadmill walking - slow & steady pace', '30 seconds'], ['Lying Floor Knee Raise', '20'], ['Jump Squats', '10'], ['Mountain Climbers', '20 each leg'], ['Treadmill walking - slow & steady pace', '30 seconds']]",Fast & Furious: 21 Day Shredding Workout Cycle And Diet,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/fast-furious-21-day-shredding-workout-diet,Build Muscle,Full Body,Intermediate,4 weeks,3,30 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,"Protein Powder, Multivitamin, Fish Oil"
33,Day 1: Fat Loss Push Workout,"[['Dumbbell Bench Press', '4', '8-12'], ['Standing Cable Fly', '3', '12-15'], ['Incline Bench Press', '4', '6-8'], ['Overhead Press', '4', '8-12'], ['Lateral Raise', '3', '12-15'], ['French Press', '3', '10-12'], ['Skullcrusher', '3', '12-15'], ['Exercise Ball Crunch', '4', '20-25'], ['Hanging Leg Raise', '4', '10-15']]",The Fat Incinerator: 8 Week Fat Burning Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/8-week-fat-incinerator-workout,Lose Fat,Split,Intermediate,12 weeks,5,30-45 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male,"Whey Protein, BCAA Powder, Essential Fats (EFAs), Green Tea Extract"
34,Day 2: Fat Loss Pull Workout,"[['Lat Pull Down', '4', '10-12'], ['T-Bar Row', '4', '10-12'], ['One Arm Dumbbell Row', '4', '10'], ['Close Grip Pull Down', '3', '12-15'], ['Face Pull', '3', '15-20'], ['Cable Curl', '3', '10-12'], ['Hammer Curl', '3', '12-15'], ['Machine Crunch', '3', '15-20'], ['Machine Oblique Crunch', '3', '12-15 Each']]",The Fat Incinerator: 8 Week Fat Burning Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/8-week-fat-incinerator-workout,Lose Fat,Split,Intermediate,12 weeks,5,30-45 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male,"Whey Protein, BCAA Powder, Essential Fats (EFAs), Green Tea Extract"
