,title,content,Workout Title,Category,Routine Link,Main Goal,Workout Type,Training Level,Program Duration,Days Per Week,Time Per Workout,Equipment Required,Target Gender,Recommended Supps
284,Intermediate 230 - 230 total reps,"[['300 Workout'], ['Exercise', 'Reps'], ['Dynamic warm-up complex', ''], ['Barbell clean and press', '15'], ['Pull-ups', '25'], ['Split squat jumps', '30'], ['Feet-elevated push-ups', '30'], ['Hanging leg raises or lying leg raises', '40'], ['Two-arm kettlebell swing', '40'], ['30-50 yard sprint or sled push', ''], ['Perform the complex for one to three rounds', '']]",300 Workout: The Rise Of A New You! A Plan To Get Muscular & Ripped,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/300-rise-new-you-workout-muscular-ripped,Build Muscle,Full Body,Beginner,9 weeks,3,45-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines, Other",Male & Female,"Protein Powder, Multivtimain, Fish Oil"
285,Intermediate 230 - 230 total reps,"[['300 Workout'], ['Exercise', 'Reps'], ['Dynamic warm-up complex', ''], ['One-arm kettlebell or dumbbell clean and press', '15'], ['Barbell deadlifts', '20'], ['Box jumps', '30'], ['Renegade rows', '20'], ['Mountain climbers', '30'], ['Goblet squats', '20'], ['Inverted rows', '20'], ['2 minute jog', ''], ['Perform the complex for one to three rounds', '']]",300 Workout: The Rise Of A New You! A Plan To Get Muscular & Ripped,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/300-rise-new-you-workout-muscular-ripped,Build Muscle,Full Body,Beginner,9 weeks,3,45-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines, Other",Male & Female,"Protein Powder, Multivtimain, Fish Oil"
286,Intermediate 230 - 230 total reps,"[['300 Workout'], ['Exercise', 'Reps'], ['Dynamic warm-up complex', ''], ['One-arm kettlebell or dumbbell push press', '15'], ['Reverse-grip chin-ups', '25'], ['Walking lunges', '15 Each Leg'], ['Close-Grip push-ups', '30'], ['Floor wipers', '40'], ['Barbell upright row', '40'], ['30-50 yard sprint or sled push', ''], ['Perform the complex for one to three rounds', '']]",300 Workout: The Rise Of A New You! A Plan To Get Muscular & Ripped,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/300-rise-new-you-workout-muscular-ripped,Build Muscle,Full Body,Beginner,9 weeks,3,45-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines, Other",Male & Female,"Protein Powder, Multivtimain, Fish Oil"
287,Intermediate 230 - 230 total reps,"[['300 Workout'], ['Exercise', 'Reps'], ['Dynamic warm-up complex', ''], ['Kettlebell or dumbbell deadlifts', '20'], ['Two-arm kettlebell or dumbbell clean and press', '15'], ['Bench step-ups', '30'], ['Inverted rows', '20'], ['Floor leg raise/crunch combo', '15 Each'], ['Barbell squats', '20'], ['Push-ups on dumbbells', '20'], ['2 minute jog', ''], ['Perform the complex for one to three rounds', '']]",300 Workout: The Rise Of A New You! A Plan To Get Muscular & Ripped,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/300-rise-new-you-workout-muscular-ripped,Build Muscle,Full Body,Beginner,9 weeks,3,45-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines, Other",Male & Female,"Protein Powder, Multivtimain, Fish Oil"
288,Day 1: Charles Glass’s Beginner Shoulder Workout,"[['Dumbbell Lateral Raise', '3-4', '12-15'], ['Rear Delt Cable Fly', '3-4', '12-15'], ['Seated Dumbbell Press', '4-5', '10-12'], ['Upright Barbell Row', '3-4', '10-12'], ['Seated Machine Lateral Raise', '3', '15']]","Charles Glass' ""Beginner Essentials"" Bodybuilding Workout",https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/charles-glass-beginners-essentials-bodybuilding-workout,General Fitness,Split,Beginner,8 weeks,3,40-60 minutes,"Bands, Dumbbells",Male & Female,
289,Day 2: Charles Glass’s Beginner Leg Workout,"[['Leg Press', '5', '10-15'], ['Machine Hack Squat', '3-5', '10-15'], ['Elevated Stiff Legged Deadlift', '3-4', '12-15'], ['Lying Leg Curls', '3', '12-15'], ['Seated Calf Raise', '4-5', '15-20']]","Charles Glass' ""Beginner Essentials"" Bodybuilding Workout",https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/charles-glass-beginners-essentials-bodybuilding-workout,General Fitness,Split,Beginner,8 weeks,3,40-60 minutes,"Bands, Dumbbells",Male & Female,
290,Day 3: Charles Glass’s Beginner Chest Workout,"[['Barbell Bench Press', '3-4', '10-12'], ['Incline Bench Press', '3-4', '10-15'], ['Decline Bench Press', '4-5', '10-12'], ['Incline Dumbbell Fly', '3', '12-15'], ['Dumbbell Pullover', '3-4', '12-15']]","Charles Glass' ""Beginner Essentials"" Bodybuilding Workout",https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/charles-glass-beginners-essentials-bodybuilding-workout,General Fitness,Split,Beginner,8 weeks,3,40-60 minutes,"Bands, Dumbbells",Male & Female,
291,Day 4: Charles Glass’s Beginner Back Workout,"[['Behind Neck Lat Pulldown', '3-4', '12-15'], ['Seated Cable Row', '3-4', '12-15'], ['Deadlift', '4-5', '8-12'], ['Hammer Strength Lat Pulldown', '3-4', '10-15'], ['Cable Face Pull', '3', '15']]","Charles Glass' ""Beginner Essentials"" Bodybuilding Workout",https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/charles-glass-beginners-essentials-bodybuilding-workout,General Fitness,Split,Beginner,8 weeks,3,40-60 minutes,"Bands, Dumbbells",Male & Female,
292,Day 5: Charles Glass’s Beginner Arm Workout,"[['Tricep Cable Pushdown', '3-4', '12-15'], ['Alternating Dumbbell Curls', '3-4', '12-15 Each'], ['Barbell Curl', '4-5', '10-15'], ['Seated Overhead Cable Tricep Extension', '3-4', '12-15'], ['Wrist Curls', '3', '15'], ['Reverse Wrist Curls', '3', '15']]","Charles Glass' ""Beginner Essentials"" Bodybuilding Workout",https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/charles-glass-beginners-essentials-bodybuilding-workout,General Fitness,Split,Beginner,8 weeks,3,40-60 minutes,"Bands, Dumbbells",Male & Female,
293,Optional Charles Glass Beginner Ab Workout,"[['Cable Crunch', '3-5', '15-20'], ['Ab Crunch Machine', '3-5', '20-25'], ['Russian Twist', '3-5', '15-20 Each']]","Charles Glass' ""Beginner Essentials"" Bodybuilding Workout",https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/charles-glass-beginners-essentials-bodybuilding-workout,General Fitness,Split,Beginner,8 weeks,3,40-60 minutes,"Bands, Dumbbells",Male & Female,
294,Day 1,"[['1. Bench Press', '4 Sets of 5 @60/65/75/75% 1RM', '60-90 sec'], ['2. Weighted Dip', '3 Sets of 10 (2-for-2 Rule)', '60-90 sec'], ['3a. Incline DB Bench Press', '3 Sets of 12', '0'], ['3b. DB Pullover', '3 Sets of 10', '0'], ['3c. Cable Crossovers', '3 Sets of 10', '90 sec before repeating Triset'], ['4a. Hanging Leg Raises', '12, 10, 8, 6', '0'], ['4b. Weighted Crunch', '4 Sets of 12', '90 sec before repeating Superset']]","Hugh Jackman's Workout: Strong, Lean & Powerful",https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/hugh-jackman-workout-routine,Build Muscle,Split,Beginner,12 weeks,4,45-70 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Kettle Bells, Medicine Ball, Other",Male,"Protein Powder, Creatine Monohydrate, Multivitamin, Fish Oil"
295,Day 2,"[['1. Squat', '4 Sets of 5 @60/65/75/75% 1RM', '3 min'], ['2. Single-Leg Press', '3 Sets of 10 each leg (2-for-2 Rule)', '60-90 sec'], ['3a. Leg Curl', '3 Sets of 12', '0'], ['3b. Calf Raise', '3 Sets of 15', '0'], ['3c. Split Squat', '3 Sets of 10', '90 sec before repeating Triset'], ['4. Plank Complex: Front, Left, Right', '3 Sets of 30-45 sec each position', 'Complete all 3 positions before resting max 90 sec']]","Hugh Jackman's Workout: Strong, Lean & Powerful",https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/hugh-jackman-workout-routine,Build Muscle,Split,Beginner,12 weeks,4,45-70 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Kettle Bells, Medicine Ball, Other",Male,"Protein Powder, Creatine Monohydrate, Multivitamin, Fish Oil"
296,Day 3,"[['1. Weighted Chins', '4 Sets of 5 @60/65/75/75% 1RM', '3 min'], ['2. T-Bar Row', '3 Sets of 10 (2-for-2 Rule)', '60-90 sec'], ['3a. Lat Pulldown', '3 Sets of 12', '0'], ['3b. Seated Cable Row', '3 Sets of 10', '0'], ['3c. Face Pull', '3 Sets of 12', '90 sec before repeating Triset'], ['4a. Standing Med Ball Chop', '3 Sets of 8, left and right', '0'], ['4b. Weighted Crunch', '4 Sets of 12', '90 sec before repeating Superset']]","Hugh Jackman's Workout: Strong, Lean & Powerful",https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/hugh-jackman-workout-routine,Build Muscle,Split,Beginner,12 weeks,4,45-70 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Kettle Bells, Medicine Ball, Other",Male,"Protein Powder, Creatine Monohydrate, Multivitamin, Fish Oil"
297,Day 4,"[['1. Deadlift', '4 Sets of 5 @60/65/75/75% 1RM', '3 min'], ['2. Shoulder Press', '5 Sets of 5 (2-for-2 Rule)', '60-90 sec'], ['3a. Front Raise', '3 Sets of 12', '0'], ['3b. Rear Delt Fly', '3 Sets of 10', '0'], ['3c. Lateral Raise', '3 Sets of 10', '90 sec before repeating Triset'], [""4a. Biceps 21's"", '3 Sets of 7 close grip, 7 wide grip, 7 tempo', '0'], ['4b. Bench Dips', '3 Sets of 20', '90 sec before repeating Superset']]","Hugh Jackman's Workout: Strong, Lean & Powerful",https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/hugh-jackman-workout-routine,Build Muscle,Split,Beginner,12 weeks,4,45-70 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Kettle Bells, Medicine Ball, Other",Male,"Protein Powder, Creatine Monohydrate, Multivitamin, Fish Oil"
298,Sylvester Stallone Inspired Workout 1,"[['Incline Dumbbell Press', '5', '10'], ['Incline Dumbbell Fly', '4', '10'], ['Dumbbell Press', '3', '10'], ['A1. Incline EZ Bar Skullcrusher', '3', '10'], ['A2. EZ Bar Curl', '3', '10'], ['B1. Seated Overhead Dumbbell Extension', '3', '10'], ['B2. Seated Dumbbell Curl', '3', '10'], ['C1. Tricep Cable Extension', '3', '10'], ['C2. Rope Hammer Curl', '3', '10'], ['Forearm Wrist Curls', '3', '10']]",Hollywood Muscle: Sylvester Stallone Inspired Workout Routine,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/sylvester-stallone-workout,Build Muscle,Split,Beginner,5 weeks,4,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,"Titanium Whey, BCAA Boosted, Launch Reloaded"
299,Sylvester Stallone Inspired Workout 2,"[['T-Bar Row', '5', '10'], ['Pull Up', '4', '10'], ['Bent Over Dumbbell Row', '3', '10'], ['Dumbbell Arnold Press', '5', '10'], ['Side Lateral Raises', '4', '10'], ['Bent Over Rear Delt Fly', '3', '10'], ['Front Raise', '2', '10']]",Hollywood Muscle: Sylvester Stallone Inspired Workout Routine,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/sylvester-stallone-workout,Build Muscle,Split,Beginner,5 weeks,4,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,"Titanium Whey, BCAA Boosted, Launch Reloaded"
300,Sylvester Stallone Inspired Workout 3,"[['Heels Elevated Dumbbell Squat', '5', '10'], ['Split Squat', '4', '10'], ['Leg Curl', '3', '10'], ['Calf Raise', '3', '15'], ['Ab Wheel Rollout', '5', '10'], ['A1. Sit Up', '3-5', '25'], ['A2. Lying Leg Raise', '3-5', '25'], ['A3. Oblique Crunch', '3-5', '25']]",Hollywood Muscle: Sylvester Stallone Inspired Workout Routine,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/sylvester-stallone-workout,Build Muscle,Split,Beginner,5 weeks,4,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,"Titanium Whey, BCAA Boosted, Launch Reloaded"
301,Sylvester Stallone Inspired Workout 4,"[['Slight Incline Neutral Grip Dumbbell Press', '5', '10'], ['Cable Flys', '4', '10'], ['Push Ups', '3', '10'], ['A1. Skullcrusher', '3', '10'], ['A2. Incline Dumbbell Curl', '3', '10'], ['B1. French Press', '3', '10'], ['B2. Barbell Curl', '3', '10'], ['C1. Tricep Kickback', '3', '10'], ['C2. Dumbbell Curl', '3', '10'], ['Forearm Wrist Curl', '3', '10']]",Hollywood Muscle: Sylvester Stallone Inspired Workout Routine,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/sylvester-stallone-workout,Build Muscle,Split,Beginner,5 weeks,4,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,"Titanium Whey, BCAA Boosted, Launch Reloaded"
302,Sylvester Stallone Inspired Workout 5,"[['Barbell Row', '5', '10'], ['Wide Grip Pull Up', '4', '10'], ['Cable Row', '3', '10'], ['Dumbbell Side Laterals', '5', '10'], ['Bent Over Rear Delt Row', '4', '10'], ['Dumbbell Front Raise', '3', '10'], ['Dumbbell Shrug', '2', '25']]",Hollywood Muscle: Sylvester Stallone Inspired Workout Routine,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/sylvester-stallone-workout,Build Muscle,Split,Beginner,5 weeks,4,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,"Titanium Whey, BCAA Boosted, Launch Reloaded"
303,Sylvester Stallone Inspired Workout 6,"[['Goblet Squat', '5', '10'], ['Dumbbell Lunge', '4', '10'], ['Leg Curl', '3', '10'], ['Calf Raise', '3', '15'], ['Ab Wheel', '5', '10'], ['A1. Sit Up', '3-5', '25'], ['A2. Hanging Leg Raise', '3-5', '25'], ['A3. Side Bends', '3-5', '25 Each']]",Hollywood Muscle: Sylvester Stallone Inspired Workout Routine,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/sylvester-stallone-workout,Build Muscle,Split,Beginner,5 weeks,4,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,"Titanium Whey, BCAA Boosted, Launch Reloaded"
304,Brie Larson Workout Day 1: Upper Body Workout,"[['Upper Body Activation Flow', '1', '5 Mins'], ['Dead Bugs', '3', '15 Each'], ['Pull Ups', '3', '5-8'], ['Push Ups', '3', '8-12+'], ['Overhead Press', '3-4', '5'], ['Inverted Row', '3', '8-12'], ['Dumbbell Row', '3-4', '5'], ['Plank', '3', '1 Min+']]",Brie Larson Inspired Workout: Train Like Captain Marvel,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/brie-larson-workout-routine,Lose Fat,Split,Beginner,4 weeks,5,30-60 minutes,"Bands, Barbell, Bodyweight, Dumbbells",Male & Female,"Isoflex, Omega 3, Vitaform, Vitaform Women's Multi"
305,Brie Larson Workout Day 2: Lower Body Workout,"[['Lower Body Activation Flow', '1', '5 Min'], ['Landmine Goblet Squat', '3', '5-8'], ['Barbell Hip Thrust', '3-4', '5'], ['Plie Squat', '3', '8-12'], ['Rear Lunge', '3', '8-12 Each'], ['Glute Hyperextension', '3', '8-12']]",Brie Larson Inspired Workout: Train Like Captain Marvel,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/brie-larson-workout-routine,Lose Fat,Split,Beginner,4 weeks,5,30-60 minutes,"Bands, Barbell, Bodyweight, Dumbbells",Male & Female,"Isoflex, Omega 3, Vitaform, Vitaform Women's Multi"
306,Brie Larson Workout Day 4: Full Body Workout,"[['Full Body Activation Flow', '1', '5 Min'], ['Deadlifts', '4-5', '3-5'], ['Pull Ups', '3', '5-8'], ['Dumbbell Bench Press', '3', '6-8'], ['Overhead Walking Lunge', '3', '8'], ['Hip Thrust', '3', '5'], ['Barbell Rollouts', '3', '8']]",Brie Larson Inspired Workout: Train Like Captain Marvel,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/brie-larson-workout-routine,Lose Fat,Split,Beginner,4 weeks,5,30-60 minutes,"Bands, Barbell, Bodyweight, Dumbbells",Male & Female,"Isoflex, Omega 3, Vitaform, Vitaform Women's Multi"
307,Brie Larson Workout Day 6: Full Body Workout,"[['Full Body Activation Flow', '1', '5 Mins'], ['Split Squats', '4-5', '3-5 Each'], ['Barbell Row', '3', '5-8'], ['Band Pulls', '3', '8-12'], ['Dumbbell Shoulder Press', '3', '6-8'], ['Barbell Glute Bridge', '3', '5-8'], ['Pallof Press', '3', '12-15 Each']]",Brie Larson Inspired Workout: Train Like Captain Marvel,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/brie-larson-workout-routine,Lose Fat,Split,Beginner,4 weeks,5,30-60 minutes,"Bands, Barbell, Bodyweight, Dumbbells",Male & Female,"Isoflex, Omega 3, Vitaform, Vitaform Women's Multi"
308,Day 1: Steve Kuclo’s Shoulder Workout,"[['Seated Dumbbell Press', '4', '10'], ['Side Lateral Raise*', '4', '10'], ['Rear Delt Cable Fly', '4', '10'], ['A1. Machine Shoulder Press', '4', '10'], ['A2. Rear Delt Fly', '4', '10']]",Steve Kuclo Mass Building Inspired Workout Split,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/steve-kuclo-mass-building-workout,Build Muscle,Split,Beginner,5 weeks,3,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male,"Titanium Whey, BCAA Boosted, Launch Reloaded"
309,Day 2: Steve Kuclo’s Back Workout,"[['A1. Underhand Pull Down', '4', '12-15'], ['A2. Straight Arm Pull Down', '4', '12-15'], ['Heavy Dumbbell Rows', '4', '10-12'], ['Machine Rows', '4', '12-15'], ['Deadlifts', '5', '5-8']]",Steve Kuclo Mass Building Inspired Workout Split,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/steve-kuclo-mass-building-workout,Build Muscle,Split,Beginner,5 weeks,3,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male,"Titanium Whey, BCAA Boosted, Launch Reloaded"
310,Day 3: Steve Kuclo’s Chest Workout,"[['Incline Dumbbell Press', '5', '10'], ['Hammer Strength Bench Press', '5', '10'], ['Incline Dumbbell Fly', '5', '10'], ['Machine Pec Deck', '5', '10']]",Steve Kuclo Mass Building Inspired Workout Split,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/steve-kuclo-mass-building-workout,Build Muscle,Split,Beginner,5 weeks,3,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male,"Titanium Whey, BCAA Boosted, Launch Reloaded"
311,Day 4: Steve Kuclo’s Leg Workout,"[['Hack Squat', '5', '10'], ['Vertical Leg Press', '5', '10'], ['Leg Extension', '5', '10'], ['Romanian Deadlift', '5', '10'], ['Lying Leg Curl', '5', '10'], ['Seated Leg Curl', '5', '10']]",Steve Kuclo Mass Building Inspired Workout Split,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/steve-kuclo-mass-building-workout,Build Muscle,Split,Beginner,5 weeks,3,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male,"Titanium Whey, BCAA Boosted, Launch Reloaded"
312,Day 5: Steve Kuclo’s Arm Workout,"[['EZ Bar Curl', '5', '10'], ['Hammer Spider Curl', '5', '10'], ['Standing High Pulley Curl', '5', '10'], ['Cable Tricep Pushdown', '5', '10'], ['Close Grip Bench Press', '5', '10'], ['Cable Crossover Tricep Pushdown', '5', '10']]",Steve Kuclo Mass Building Inspired Workout Split,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/steve-kuclo-mass-building-workout,Build Muscle,Split,Beginner,5 weeks,3,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male,"Titanium Whey, BCAA Boosted, Launch Reloaded"
313,"Day 1 - Legs, Back, and Biceps","[['Dumbbell Lunge', '4', '8-12'], ['Leg Curl', '4', '8-12'], ['Squat', '4', '8-12'], ['Bent Over Row', '4', '8-12'], ['Pull Up', '4', '8-12'], ['Barbell Curl', '4', '8-12']]",Pain & Gain: Dwayne Johnson And Mark Wahlberg Workout,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/pain-gain-dwayne-johnson-mark-wahlberg-workout,Build Muscle,Single Muscle Group,Advanced,4 weeks,1,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells",Male & Female,
314,"Day 2 - Chest, Shoulders, and Triceps","[['Bench Press', '4', '8-12'], ['Incline Dumbbell Bench Press', '4', '8-12'], ['Skullcrushers', '4', '8-12'], ['Cable Tricep Extension', '4', '8-12'], ['Seated Arnold Press', '4', '8-12'], ['Cable Crossovers', '4', '8-12'], ['Push Up', '3', 'Failure']]",Pain & Gain: Dwayne Johnson And Mark Wahlberg Workout,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/pain-gain-dwayne-johnson-mark-wahlberg-workout,Build Muscle,Single Muscle Group,Advanced,4 weeks,1,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells",Male & Female,
315,Monday - Shoulders,"[['Machine Press', '3', '21'], ['Dumbbell Lateral Raise superset w/ Front Dumbbell Raise', '3', '8'], ['Cable Bent Over Reverse Flye', '5', '12, 10, 8, 6, 4'], ['Hammer Strength Shrug', '5', '12, 10, 8, 6, 4'], ['4-Way Neck Machine', '4', '12']]",Pain & Gain: Dwayne Johnson And Mark Wahlberg Workout,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/pain-gain-dwayne-johnson-mark-wahlberg-workout,Build Muscle,Single Muscle Group,Advanced,4 weeks,1,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells",Male & Female,
316,Tuesday - Back,"[['Wide Grip Lat Pull Down', '5', '12, 10, 8, 6, 4'], ['Close Grip Lat Pull Down', '5', '12, 10, 8, 6, 4'], ['One Arm Machine Row', '4', '12'], ['Hyperextension', '4', '15, 15, 12, 12']]",Pain & Gain: Dwayne Johnson And Mark Wahlberg Workout,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/pain-gain-dwayne-johnson-mark-wahlberg-workout,Build Muscle,Single Muscle Group,Advanced,4 weeks,1,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells",Male & Female,
317,Thursday - Legs,"[['Leg Press', '4', '25, 20, 18, 16'], ['Smith Machine Lunge', '4', '8'], ['Leg Curl', '4', '12, 10, 8, 6'], ['Standing Calf Raise', '6', '6']]",Pain & Gain: Dwayne Johnson And Mark Wahlberg Workout,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/pain-gain-dwayne-johnson-mark-wahlberg-workout,Build Muscle,Single Muscle Group,Advanced,4 weeks,1,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells",Male & Female,
318,Friday - Arms,"[['Dumbbell Curl', '5', '12, 10, 8, 6, 4'], ['Machine Curl', '6', '12, 10, 8, 6, 21, 21'], ['Cable Tricep Extension', '5', '12, 10, 8, 6, 20'], ['Overhead Cable Tricep Extension', '4', '12, 10, 8, 20'], ['One Arm Reverse Grip Cable Tricep Extension', '2', '15']]",Pain & Gain: Dwayne Johnson And Mark Wahlberg Workout,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/pain-gain-dwayne-johnson-mark-wahlberg-workout,Build Muscle,Single Muscle Group,Advanced,4 weeks,1,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells",Male & Female,
319,Saturday - Chest,"[['Incline Dumbbell Press', '5', '12, 10, 8, 6, 4'], ['Dumbbell Bench Press', '5', '12, 10, 8, 6, 4'], ['Cable Crossover (super set with Push Ups)', '4', '12'], ['Push Up', '4', '15']]",Pain & Gain: Dwayne Johnson And Mark Wahlberg Workout,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/pain-gain-dwayne-johnson-mark-wahlberg-workout,Build Muscle,Single Muscle Group,Advanced,4 weeks,1,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells",Male & Female,
320,Watch the video (3:12),"[['1a. Barbell Bench Press', '4', '15, 12, 8, 6'], ['1b. Hammer Strength Row', '4', '15, 12, 8, 6'], ['2a. Barbell Military Press', '4', '15, 12, 8, 6'], ['2b. Pull Ups*', '4', '10-15'], ['3a. Dumbbell Curls', '4', '15, 12, 8, 6'], ['3b. Dumbbell Shrugs', '4', '15, 12, 8, 6']]",Push-Pull Superset Workout Program Ft. NFL Tight End Vernon Davis,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/vernon-davis-push-pull-superset-workout,Build Muscle,Single Muscle Group,Intermediate,8 weeks,1,30-45 minutes,"Bodyweight, Dumbbells, EZ Bar",Male & Female,
321,Watch the video (3:12),"[['1a. Squat', '4', '15, 12, 8, 6'], ['1b. Romanian Deadlift', '4', '15, 12, 8, 6'], ['2a. Leg Press', '4', '15, 12, 8, 6'], ['2b. Leg Curl', '4', '15, 12, 8, 6'], ['3a. Dumbbell Lunge', '4', '15, 12, 8, 6'], ['3b. Calf Raise', '4', '10-15']]",Push-Pull Superset Workout Program Ft. NFL Tight End Vernon Davis,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/vernon-davis-push-pull-superset-workout,Build Muscle,Single Muscle Group,Intermediate,8 weeks,1,30-45 minutes,"Bodyweight, Dumbbells, EZ Bar",Male & Female,
322,Real Food,"[['Diamond Push-Up', '3-6', '10-20'], ['Inverted Row', '3-6', '10-20'], ['Bodyweight Bulgarian Split Squat', '3-6', '10-20'], ['Floor Crunch', '3-6', '10-20'], ['Jump Squat', '3-6', '10-20']]",Jai Courtney Workout: How Jai Got Swole for Terminator Genisys,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/jai-courtney-workout-terminator-genisys,Build Muscle,Single Muscle Group,Beginner,6 weeks,1,30-45 minutes,"Barbell, Cables, Dumbbells, EZ Bar",Male & Female,
323,Real Food,"[['Diamond Push-Up', '3-6', '10-20'], ['Medium-Grip Chin-Up', '3-6', '10-20'], ['Box Jump', '3-6', '10-20'], ['Pike Push-Up', '3-6', '10-20'], ['Hanging Leg Lift', '3-6', '10-20']]",Jai Courtney Workout: How Jai Got Swole for Terminator Genisys,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/jai-courtney-workout-terminator-genisys,Build Muscle,Single Muscle Group,Beginner,6 weeks,1,30-45 minutes,"Barbell, Cables, Dumbbells, EZ Bar",Male & Female,
